onset	duration	trial_type	value	sample
0.0	0.0	+0.000000	1	0
0.0	0.0	Segment: REC START BP ALL EEG	16	0
0.0	0.0	A1+A2 OFF	13	0
58.95	0.0	+59.000000	7	58950
58.95	0.0	Z PT WITH EYES CLOSE	22	58950
66.825	0.0	+67.000000	8	66825
66.825	0.0	SZ EVENT # (EEG SZ)	14	66825
67.95	0.0	+68.000000	9	67950
67.95	0.0	Z START WITH LOW VOL	24	67950
69.975	0.0	+70.000000	10	69975
69.975	0.0	Z INTERMIXED FAST SP	18	69975
70.0	0.0	Z LOW VOLTAGE RHY FA	20	70000
70.875	0.0	+71.000000	11	70875
70.875	0.0	Z RHY ACTIVITY FROM	23	70875
92.925	0.0	+93.000000	12	92925
92.925	0.0	Z MOUTH MOVEMENTS	21	92925
100.8	0.0	+101.000000	2	100800
100.8	0.0	Z TONGUE MOVEMENTS	25	100800
144.9	0.0	+145.000000	3	144900
144.9	0.0	Z WIPED NOSE WITH RI	26	144900
153.0	0.0	+153.000000	4	153000
153.0	0.0	Z LICKING INSIDE OF	19	153000
157.95	0.0	+158.000000	5	157950
157.95	0.0	Schedule	15	157950
275.85	0.0	+276.000000	6	275850
275.85	0.0	Z ELECTROGRAPHIC END	17	275850
