onset	duration	trial_type	value	sample
0.0	0.0	+0.000000	1	0
0.0	0.0	Segment: REC START BP ALL EEG	13	0
0.0	0.0	A1+A2 OFF	10	0
45.9	0.0	+46.000000	2	45900
45.9	0.0	Schedule	12	45900
58.95	0.0	+59.000000	3	58950
58.95	0.0	SZ EVENT # (EEG SZ)	11	58950
60.975	0.0	+61.000000	4	60975
60.975	0.0	Z LAH INVOLVEMENT	17	60975
61.0	0.0	Z LOW VOLT FAST LAD,	18	61000
63.9	0.0	+64.000000	5	63900
63.9	0.0	Z HIGH VOLT SHPs LAT	15	63900
72.0	0.0	+72.000000	6	72000
72.0	0.0	Z ICTAL BUILD LAD, L	16	72000
74.925	0.0	+75.000000	7	74925
74.925	0.0	Z NO CLEAR CLINICAL	19	74925
84.825	0.0	+85.000000	8	84825
84.825	0.0	Z ELECTROGRAPHIC END	14	84825
87.975	0.0	+88.000000	9	87975
87.975	0.0	Z POST ICTAL DEPRESS	20	87975
